丁,放,程放,程蔼放,楞%,獴秖,硉,溃,冻秖
2025/1/1,8.2,4.8,11.4,34,0,8.5,1016.2,1
2025/1/2,7.7,2.4,13.6,52,0,6,1015.3,2
2025/1/3,5.6,4.2,6.8,75,1.6,7.8,1014.8,6
2025/1/4,5.1,1.9,9.3,54,0,7.4,1019.3,3
2025/1/5,4.6,0.5,9.3,58,0,6.2,1023.2,4
2025/1/6,4.4,1.6,7.8,74,25.9,6.7,1015.1,7
2025/1/7,8,4.1,12.9,74,0,7.5,1000.9,4
2025/1/8,6.8,2.9,11.3,40,0,7.7,1008.1,1
2025/1/9,6.8,3.5,12,38,0,11.2,1007.6,1
2025/1/10,4.6,1.2,8.8,34,0,12.3,1013.8,1
2025/1/11,5.2,0.8,10.6,42,0,7.4,1021,1
2025/1/12,5.2,2.9,7.9,61,0,6.1,1019.2,7
2025/1/13,6.9,1.4,12.9,52,0,11.4,1016.5,2
2025/1/14,6.4,1.6,12.4,55,0,5.4,1018.6,1
2025/1/15,7.7,3,14.7,52,0,10.7,1012,3
2025/1/16,4.6,3.1,7.6,50,0,8.5,1017.2,4
2025/1/17,4.9,1.1,9.3,45,0,13.2,1017.4,1
2025/1/18,4.6,1.6,8.8,47,0,7.7,1023.6,2
2025/1/19,5.8,1.8,8.5,55,0.9,7.3,1020.8,7
2025/1/20,9.1,5.2,13.4,71,1.4,5.8,1012.3,6
2025/1/21,9.4,7.5,13.3,71,0.5,7.6,1015.3,5
2025/1/22,8.3,4.6,12.7,46,0,7.3,1020,1
2025/1/23,8.6,4.8,13.9,62,0,6.4,1021.8,4
2025/1/24,9.2,4.7,13.8,63,4.7,8.1,1021.3,3
2025/1/25,6.9,5.4,8.9,71,0.8,8.2,1020.7,6
2025/1/26,7,3.6,11.7,47,0,11.7,1017.8,1
2025/1/27,6.3,2.7,9.5,54,0,7,1014.7,5
2025/1/28,8.4,4.8,12.8,52,0.4,7.3,1007.5,4
2025/1/29,7.1,3.3,11.9,38,0,10.4,1009.6,2
2025/1/30,6.4,1.9,11,41,0,6.6,1013.2,1
2025/1/31,7.1,2.9,12.1,38,0,8.8,1019.5,2
2025/2/1,7.4,3.3,11.3,49,0,6.7,1021.2,6
2025/2/2,4.8,3.2,8.8,88,6.9,7.8,1016.8,8
2025/2/3,6.1,4.2,9,74,0,6.1,1008.3,7
2025/2/4,6.1,3.1,10.1,56,1.8,9.3,999.4,4
2025/2/5,4.1,0.6,7.9,42,0.3,11.9,1001.4,2
2025/2/6,4,-0.3,8.7,36,0,9.6,1008.3,2
2025/2/7,4.8,0,10.2,35,0,9.7,1006.9,3
2025/2/8,4.6,0.6,9.1,38,0,16.5,1006.7,1
2025/2/9,5.1,1.2,11.1,37,0,11,1014.8,1
2025/2/10,5.4,-0.1,11.1,41,0,7.6,1016.3,2
2025/2/11,5.2,0.7,9.7,43,0,12.9,1020.1,1
2025/2/12,6.3,1.3,11.4,53,0,9,1017.3,4
2025/2/13,7.8,3.6,12.6,47,2.5,16.5,1004.6,2
2025/2/14,7.5,2.5,12.4,37,0,9.3,1014.5,2
2025/2/15,9.4,5.5,13.2,50,0,10.3,1018.2,3
2025/2/16,11.3,7.6,16.2,56,0,7.1,1011.1,7
2025/2/17,9.6,4.4,14.3,51,0,11.7,1004.8,4
